Intent Name,Confidence Level,Description,Detection Signals,Domain,Examples,L1 Category,L2 Intent,L3 Specific Intent,Product Category,Ma Intent,Logic category san pham
Tư vấn màu điện thoại,Cao,Khách hỏi mua loại điện thoại nào phù hợp,↳ điện thoại | ↳ iPhone | ↳ Samsung,Dien tu,Em muốn mua điện thoại màu nào tốt?,truoc_mua_hang,thiet_bi_tu_van,dien_thoai_mau_goi_y,Dien thoai,INT-1,"Neu co tu khoa dien thoai, dien thoai thong minh, iPhone, Samsung, 5G thi gan Dien thoai"
Thông số kỹ thuật điện thoại thông minh,Cao,Hỏi chi tiết thông số kỹ thuật,↳ RAM | ↳ bộ nhớ | ↳ máy ảnh MP,Dien tu,Cái này RAM bao nhiêu? Camera bao nhiêu MP?,truoc_mua_hang,thong_sos_truy_van,dien_thoai_thong_sos,Dien thoai,INT-2,"Neu co tu khoa dien thoai, dien thoai thong minh, iPhone, Samsung, 5G thi gan Dien thoai"
Tính năng điện thoại thông minh,Cao,Hỏi về tính năng cụ thể của điện thoại,↳ 5G | ↳ sạc không dây,Dien tu,Có sạc không dây không?,truoc_mua_hang,tinh_nang_truy_van,dien_thoai_tinh_nang,Dien thoai,INT-3,"Neu co tu khoa dien thoai, dien thoai thong minh, iPhone, Samsung, 5G thi gan Dien thoai"
Giao hàng muộn điện thoại,Cao,Đơn hàng điện thoại quá hạn giao,↳ mã đơn | ↳ quá hạn,Dien tu,Mã #ABC123 điện thoại chưa tới,sau_mua_hang,giao_hang_loi,dien_thoai_giao_hang_muon,Dien thoai,INT-4,"Neu co tu khoa dien thoai, dien thoai thong minh, iPhone, Samsung, 5G thi gan Dien thoai"
Điện thoại thông minh bị hỏng,Cao,Điện thoại nhận được bị hỏng vật lý,↳ mã đơn | ↳ hỏng,Dien tu,Màn hình bị vỡ!,sau_mua_hang,hong_vo_san_pham,dien_thoai_hong_vo,Dien thoai,INT-5,"Neu co tu khoa dien thoai, dien thoai thong minh, iPhone, Samsung, 5G thi gan Dien thoai"
Điện thoại thông minh khác thông số,Cao,Điện thoại nhận được không đúng thông số đã đặt,↳ mã đơn | ↳ thông số khác,Dien tu,RAM khác thông số!,sau_mua_hang,chat_luong_loi,dien_thoai_khong_nhu_mo_ta,Dien thoai,INT-6,"Neu co tu khoa dien thoai, dien thoai thong minh, iPhone, Samsung, 5G thi gan Dien thoai"
Hoàn tiền điện thoại,Cao,Yêu cầu hoàn tiền cho đơn điện thoại,↳ mã đơn | ↳ hoàn tiền,Dien tu,Hoàn tiền được không?,sau_mua_hang,hoan_tien_yeu_cau,dien_thoai_hoan_tien,Dien thoai,INT-7,"Neu co tu khoa dien thoai, dien thoai thong minh, iPhone, Samsung, 5G thi gan Dien thoai"
Laptop dùng để làm gì,Cao,Hỏi mục đích sử dụng laptop,↳ laptop | ↳ trò chơi | ↳ học tập,Dien tu,Laptop tốt cho trò chơi?,truoc_mua_hang,laptop_muc_dich,laptop_su_dung_truong_hop,Laptop,INT-8,"Neu co tu khoa laptop, pin laptop, hieu nang hoc tap/tro choi thi gan Laptop"
Hiệu năng laptop,Cao,Hỏi hiệu năng xử lý của laptop,↳ CPU | ↳ GPU | ↳ RAM,Dien tu,Intel hay AMD tốt hơn?,truoc_mua_hang,laptop_thong_sos,laptop_hieu_nang,Laptop,INT-9,"Neu co tu khoa laptop, pin laptop, hieu nang hoc tap/tro choi thi gan Laptop"
Thời lượng pin laptop,Cao,Hỏi thời lượng pin của laptop,↳ pin | ↳ giờ,Dien tu,Laptop pin được bao lâu?,truoc_mua_hang,laptop_pin,laptop_pin_thoi_luong,Laptop,INT-10,"Neu co tu khoa laptop, pin laptop, hieu nang hoc tap/tro choi thi gan Laptop"
